ID,Name,Birthday,His_car_year_production,Cars_color,Name_starts_from_J
1,JOHN DOE,"90.01.15, 12:00:00",2010,Red,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2011,Green,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2012,Black,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2013,White,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2014,Yellow,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2015,Blue,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2016,Red,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2017,Green,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2018,Black,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2019,White,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2020,Yellow,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2021,Blue,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2022,Red,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2023,Green,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2024,Black,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2025,White,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2026,Yellow,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2027,Blue,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2028,Red,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2029,Green,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2030,Black,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2030,Black,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2031,Red,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2029,Blue,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2032,Silver,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2028,White,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2033,Green,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2027,Yellow,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2034,Orange,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2026,Purple,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2035,Gray,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2025,Brown,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2036,Pink,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2024,Cyan,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2037,Magenta,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2023,Turquoise,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2038,Lime,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2022,Indigo,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2039,Violet,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2021,Beige,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2040,Maroon,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2005,Gray,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2008,Silver,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1965,Red,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1972,Blue,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1985,Green,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1998,Black,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1969,White,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2002,Yellow,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1978,Orange,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1989,Purple,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1995,Brown,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1971,Pink,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1980,Cyan,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2007,Magenta,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1963,Turquoise,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1992,Lime,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2004,Indigo,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1967,Violet,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1990,Beige,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1976,Maroon,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1973,Gray,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1987,Silver,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2001,Red,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1979,Blue,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1997,Green,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1964,Black,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",2009,White,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1975,Yellow,TRUE
1,JOHN DOE,"90.01.15, 12:00:00",1982,Orange,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2010,Red,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2011,Green,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2012,Black,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2013,White,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2014,Yellow,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2015,Blue,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2016,Red,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2017,Green,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2018,Black,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2019,White,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2020,Yellow,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2021,Blue,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2022,Red,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2023,Green,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2024,Black,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2025,White,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2026,Yellow,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2027,Blue,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2028,Red,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2029,Green,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2030,Black,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2030,Black,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2031,Red,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2029,Blue,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2032,Silver,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2028,White,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2033,Green,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2027,Yellow,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2034,Orange,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2026,Purple,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2035,Gray,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2025,Brown,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2036,Pink,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2024,Cyan,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2037,Magenta,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2023,Turquoise,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2038,Lime,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2022,Indigo,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2039,Violet,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2021,Beige,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2040,Maroon,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2005,Gray,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2008,Silver,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1965,Red,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1972,Blue,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1985,Green,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1998,Black,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1969,White,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2002,Yellow,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1978,Orange,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1989,Purple,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1995,Brown,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1971,Pink,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1980,Cyan,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2007,Magenta,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1963,Turquoise,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1992,Lime,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",2004,Indigo,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1967,Violet,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1990,Beige,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1976,Maroon,TRUE
2,JANE SMITH,"85.04.22, 12:00:00",1973,Gray,TRUE
